0,20923,14948,21081,19147,19536,23891,26293,23503,26562,24560,20761,22238,22763,21162,20279,22468,24296,21987,20553,19395,19931,26240,24574,21753,24317,25058,22826,21419,25740,23376,27520,26465,26041,25014,24529,26538,23787,24559,20679,19854,24403,22867,22538,22087,25928,26137,26356,26813,20947,26251,19306,17519,26037,28986,26162,21334,28019,27893,20937,20258,19741,23209,22880,21264,19810,24151,29090,27850,25257,29425,30739,27507,23292,26671,25988,30313,26060,26033,22731,23280,21781,32253,24074,20689,24623,31521,29981,31706,28290,24479,28197,26934,27704,25631,21153,24016,28833,24536,25408,27119,22436,29044,27855,27970,22730,27486,27592,24919,29393,23793,27054,31722,26151,22063,27516,26916,25993,26645,30487,27991,25005,23897,33810,27138,32760,26277,30623,28895,29414,34013,26840,27380,27133,28188,27936,24603,26894,29100,24016,24336,25590,29396,30563,27705,29977,26887,31064,21155,20074,29475,28757,28154,27814,31165,26419,22036,22316,23026,28164,25873,25235,24212,27529,26645,26347,27551,27914,25368,23446,28451,25220,27594,28484,27006,30295,28604,27196,26191,28658,27468,23375,22929,23847,22601,22614,23981,25213,22983,27808,26521,25028,20280,21972,23090,22021,25559,21321,21220,22994,22296,23604,22246,25346,29663,22777,23849,25137,26678,23139,20726,24054,25923,19738,27220,26103,26835,24119,25329,29012,24759,28337,31377,21846,26544,25048,25973,25374,26442,27437,24182,19895,18388,25070,17963,24705,29757,28110,26024,28537,27461,30345,30932,25930,27474,22645,24629,26042,22776,23066,25099,22525,23597,24481,25793,26688,25607,22954,21470,21374,20689,22101,27856,26350,24210,25941,19646,20471,24385,21090,25179,28963,19663,20792,22278,22420,25269,25054,27765,23605,25384,26162,23282,20580,24670,23233,19025,26041,24046,25036,23524,25754,25717,23689,22713,19491,24508,22887,21142,21435,19967
3,14147,11385,12997,15397,12839,14832,15918,14428,14789,14336,13246,12043,14181,13113,12054,14543,13347,13595,13290,13774,14150,15828,13598,14581,13656,15200,13565,12540,14313,11690,15202,15466,16250,15435,16060,17941,16768,16184,14240,13435,15782,13644,13551,13443,13821,12586,13159,13903,12314,12273,12175,11825,16247,16949,15470,13758,15940,13632,14087,14813,14744,10754,12256,11609,12301,16095,16549,16878,15489,17576,17072,17213,14782,13103,15487,16710,14331,12466,15063,13146,11209,14412,15829,12475,13117,15389,12094,17790,14218,17171,14529,12919,12197,13284,13469,12683,14374,16686,15644,15894,14882,15499,13967,14775,13522,17132,17058,14068,13613,13459,14108,16728,13460,13543,15166,15967,15614,15855,15743,14624,13284,11839,17260,13591,16802,14039,15750,14436,13308,13629,11547,17360,17628,17404,16881,11507,13698,16952,12502,12548,13171,16627,20170,16739,17917,16764,15666,12876,12095,14826,13956,13821,19276,16712,13594,12859,14373,13101,13161,13895,15137,15507,18469,20131,14297,15765,16956,17521,17460,19054,17776,17134,20317,18925,22995,19986,13263,14337,15162,15997,13671,12577,14855,14163,14164,13485,12290,10728,12519,12265,13052,14086,13078,15821,14043,13513,12058,10587,13021,10355,11023,11456,13865,14178,17260,16443,15156,14712,15151,13821,16917,16813,14765,17919,17351,16770,14643,14678,16653,13100,18362,18774,17651,16623,13329,13721,16418,16019,15798,14472,10850,11136,14125,12979,13648,15683,15029,13748,16414,15111,15512,12888,13583,13740,9728,13308,11944,11913,12629,14933,14517,16257,11606,16015,14611,15064,13787,13365,13901,11795,15031,17049,18051,13622,15934,11991,14827,16053,13186,16046,15544,12493,13470,15021,11940,17600,19699,18368,14549,15562,16886,14566,13102,14696,13797,12834,17450,19070,16484,16380,18223,17125,13588,12857,11919,14779,16394,15978,14242,11927
6,20150,14573,20358,18949,18560,22974,24886,22450,25456,23943,19903,21846,21888,20328,19526,22421,24140,21029,19947,18847,20157,25987,23798,20804,23191,24398,22212,20811,25220,22608,26595,25776,24214,24375,23972,25177,23059,24093,19912,19570,23515,21583,21995,21297,25110,25808,25079,25931,20699,24580,18258,17154,25521,27796,25908,20808,27199,27438,20703,20146,19816,23005,21789,20564,18610,23646,27145,27536,23605,28189,30045,26090,22325,25348,25615,28009,25360,24403,21383,22461,21300,30347,22897,19920,25023,30452,28771,30597,27884,24106,26572,25504,25803,23798,20588,23115,27041,23523,26682,26151,22240,27575,27679,27201,22098,26800,27044,24498,27717,23507,26486,31121,25977,21537,27380,26856,25849,26696,29437,27495,24641,22232,32401,26150,31024,25539,28409,28743,28298,33594,26781,25751,26171,27005,26661,23680,25835,28206,22691,23194,25383,28775,29527,26391,28311,25521,29976,20228,19724,28025,27461,26073,27263,28894,25398,21408,22449,22793,26566,24618,24239,22837,27146,25850,25319,26594,26658,24114,22501,26562,24439,26787,27240,26282,29499,27744,25610,24378,27640,26283,22625,21747,22480,21625,21250,23196,24103,21784,26517,25267,25223,19671,20603,22643,20677,25377,19943,20028,22911,21286,22083,21383,24645,27760,21616,23162,24040,25928,22743,20852,23968,24390,18868,26174,25180,26120,23563,24026,27193,23436,26538,31503,20906,25067,23899,25294,23842,26305,26643,23869,19243,18141,23901,17408,23359,28301,26525,25113,27587,26486,27877,29235,25325,26090,21275,23093,24157,21718,21164,24458,21772,22446,23166,24579,24241,24459,21507,21169,20515,19619,21475,25770,27345,22878,25367,19500,19180,22956,20010,25130,26970,18687,20481,21816,20930,25120,23618,27256,22032,24470,24512,22275,19382,22656,22710,18498,25322,23350,23370,22823,24439,24674,22499,21422,18220,24300,21109,20565,19877,19576
9,19883,14751,20237,18903,18617,23321,24818,22133,25906,23852,20215,22097,21797,20256,19416,22118,24184,20759,19822,18826,20024,26304,23501,20579,23281,24549,22185,20541,25396,22607,26418,25474,24169,23682,24130,25001,23787,24163,20292,19613,23246,21372,22054,21234,25040,25730,24674,25564,20861,24587,18326,17178,25718,29155,25868,20479,27312,26987,20480,20238,19242,23123,21568,20301,18929,23490,26600,27474,23648,28442,30270,26475,22594,25743,25668,29015,25879,24568,21495,22925,21050,30601,22807,19661,25184,30755,28981,30415,28538,24533,26992,25304,26137,24171,20424,23152,27017,24073,26141,25656,22433,27056,28029,26975,21852,26683,27047,24751,28166,23321,26338,30761,26016,21311,26802,27291,25904,26129,30042,26311,24338,22594,32509,26223,31539,25229,27991,28180,28342,33639,26774,25596,26336,26888,27029,23448,25486,28123,22092,22881,25307,28784,29114,26347,27812,25055,29869,19860,19927,28140,27079,26116,27501,29013,25085,21230,22760,22971,27145,24793,24505,22900,28132,26090,25498,26722,26059,24753,22404,26576,24448,27397,27750,26246,29489,28125,24535,24173,27523,25756,23031,21385,22339,21039,21719,23197,24440,21985,26615,25105,25083,19741,20630,22469,20968,24410,20024,19901,22747,21716,21969,21521,24790,28121,22269,23003,24118,25523,22803,20483,24297,24488,18690,25686,25197,25606,23239,23454,27129,23989,27579,31141,20729,25091,24972,25145,24471,25809,26645,24055,19053,18329,24512,17413,22930,28589,26699,24965,27242,26454,26829,28777,25075,25443,21760,22323,24308,21240,20686,24779,21744,22578,23500,25052,24754,24508,21403,21272,20506,19380,21346,25444,27078,22420,24995,19633,19015,23172,19976,25249,26786,18925,20434,21074,21236,24712,23680,27364,21924,24507,23777,22198,18848,22502,22353,18747,24751,23598,23547,22621,24404,25501,22307,21684,18429,23939,20762,20180,19961,19454
12,19165,14563,19824,18247,18669,23496,24598,21331,25563,23579,20413,23081,21102,20090,19689,21774,23689,20525,19186,19079,19720,25336,23150,20438,22679,24511,21856,20186,25112,22278,25129,24916,24414,22525,24238,24510,23912,23322,19532,18952,22797,20768,21457,20943,24284,25166,24260,24495,20538,24358,18150,16999,24716,28161,25997,19778,26149,26304,20222,20218,18874,23217,20840,19531,18248,23548,25929,27014,23409,27739,30650,26222,22340,25680,26393,29364,25468,23224,21616,22757,20404,30265,22131,19394,24715,29801,27721,28908,28272,23617,26818,25131,25925,23807,20471,22893,27903,24052,25831,26919,21395,27736,27819,26409,21690,26446,25881,23824,27748,22570,25504,30052,25324,20932,25892,26823,26035,25866,30030,25173,23815,22522,31740,25356,31455,24182,26665,27576,28122,33236,26705,25322,25952,26289,27346,23215,24546,28085,21996,22872,24601,28187,29303,25914,27069,24941,28727,19258,19998,27723,26237,25850,27269,28038,24094,20677,22681,22619,26123,24186,24481,22107,28284,26085,24942,26441,25207,24708,22381,26107,24638,26822,27787,26238,29250,27678,23735,23666,26699,25421,21945,20997,22193,20730,21840,22844,24434,21760,25950,24587,24649,18745,20659,22022,20679,23922,19909,19337,22703,20868,21543,20573,25114,28547,21764,22245,24145,24693,22341,20808,23379,23854,18174,26080,25144,25025,22806,23606,26832,23707,26914,31459,21041,24878,24043,24462,24062,25940,25859,23976,18553,17624,23538,16969,22335,27888,26389,24114,26511,25868,26604,26820,24321,24959,21931,22110,24620,21069,20588,24913,21175,21880,23158,25366,24787,24188,20678,21641,20250,19133,20799,25490,26468,22382,24805,19322,18947,22423,19846,25354,26057,18244,19279,20500,20264,24747,22546,26592,21193,24172,23359,21142,18359,21516,22227,18262,24301,23277,22937,21629,24998,25359,21431,21226,18317,23314,20594,20048,19413,18505
15,17591,14178,18412,17448,17246,22233,23879,18886,24836,22372,18758,21844,19959,19051,18729,20802,22197,19843,18291,18590,18436,24606,21641,19989,20681,23455,20992,18660,24300,20419,23019,23289,23031,20278,23005,23302,23214,22057,18923,17226,21423,19662,19505,20007,22033,22779,22704,22321,18429,22823,17203,15884,22924,26860,24331,18716,24369,24418,18708,19315,18075,21411,18880,17938,17780,22200,24258,26233,22230,26380,29763,24634,21904,24574,24867,27960,24259,20675,20264,21236,19407,28184,21165,17271,22340,27143,25290,27127,26492,23336,25790,23816,24877,22754,18013,21613,26069,22809,24714,24973,20743,27828,25153,23869,20980,25718,23770,21713,26736,21311,23570,27504,23893,19411,24108,24939,24496,23687,28092,22373,21350,20901,29267,24010,28959,21558,25070,25288,26440,30531,24879,24361,25315,25452,27349,22092,22055,26342,21208,20765,23759,26494,28078,24802,25319,23436,26707,18900,19055,25653,23567,24713,25848,27160,21728,20140,20888,21571,25470,23758,23357,20455,26986,25546,23684,25783,24260,23492,21723,25174,23614,25656,26976,25209,27658,26398,21166,22700,24956,23504,20608,19290,20827,19341,20785,22320,22963,19788,25150,23322,23549,17435,20149,21557,19685,22374,19223,18646,21312,19472,19112,18429,23739,27412,21249,21936,21979,23700,21948,19790,22549,21781,16860,24577,23627,23888,21136,21805,25267,22587,25396,29801,20588,23421,22647,23901,22947,23820,26110,22307,17583,17119,21702,16246,20621,26313,25292,22313,23231,23608,23867,23309,22082,22387,19534,20974,22337,20360,18684,23736,19267,20982,22199,23979,23367,23082,18934,19998,18887,18390,19569,24954,25173,21200,22589,18452,17788,21141,19284,23151,23398,16227,17538,18708,18144,24230,21712,25619,19293,23103,20944,18895,17107,20662,21437,16659,23380,21529,22148,20120,23567,23036,19786,19680,17445,21679,19981,19222,17658,16748
18,17125,14389,18038,17597,17071,21812,24089,17989,24604,21909,19017,21696,19555,18971,19185,20877,21181,19328,17796,18251,17879,24171,21249,19820,20044,23403,20179,18494,24410,19133,22070,22488,22782,19934,22580,22887,22817,21489,19012,16889,20485,18933,18658,19783,21075,21742,22212,20989,17559,21871,17157,15079,22253,27144,23413,18412,23951,23897,17870,19010,17426,20703,17964,17419,17366,21832,24403,26632,21924,26139,29072,24437,21175,24350,24246,27800,23752,19586,20310,20618,19164,28024,20501,16356,21006,25695,24581,25474,26156,21779,25833,23295,24540,22125,17293,21960,25449,22313,24879,24626,20335,27998,24820,23222,21131,25263,22085,21170,26302,20754,22735,26885,23641,18699,23194,24356,24818,22246,27751,20765,20252,20179,28588,22841,28170,20375,23359,25059,26329,30082,24597,23809,25154,24316,27475,21742,21594,25423,20768,20366,23596,26235,27844,24019,25019,22689,25386,18729,18660,24703,22849,24367,25616,26923,20561,19644,20085,21140,25465,22566,22733,20339,26991,25876,23447,26125,23654,23284,21685,24831,23616,25190,26263,24725,27056,26186,20074,22610,23626,22640,20511,18524,20860,18806,20619,21772,22205,20038,24666,22758,23461,17213,19652,21335,19722,21849,18882,18672,20655,18588,17986,17920,23495,26970,21280,21713,21671,23841,22161,19559,21807,20953,16731,23806,22969,23482,20333,21072,24616,22688,26012,29378,20327,22827,22245,23344,21940,23074,25181,21657,16522,16450,20976,15667,19716,26172,25087,21792,21691,22462,22863,22409,21775,21134,18898,20537,22166,19270,17999,23273,18441,20338,21713,24320,22879,22883,18421,19492,18432,18283,18860,23748,24130,20816,21439,18241,17584,20465,18807,22357,22996,15338,16546,17634,17207,23268,21720,25106,18996,22186,20391,17698,16640,20260,20942,15841,23567,21278,21450,19625,23595,22912,19385,19151,17586,21227,19492,19385,17339,15949
21,16603,14486,18163,16949,16782,21406,24126,16783,24189,21799,18548,21360,18990,19095,18645,20251,20694,18708,17358,18194,17719,23480,20889,19036,19186,22898,19964,17918,24537,18055,21051,21863,22528,18832,22265,22572,22758,21247,18388,16129,20164,18052,17711,19101,20035,20771,21994,20074,16473,20845,16532,14431,21683,25319,23288,17764,23640,23208,17092,18169,17066,19554,17452,16930,17120,21017,23418,25694,21285,25877,28701,23944,20991,23584,23995,27159,22764,17875,20131,19938,17625,26997,20081,15809,19887,25062,23466,24468,25498,20969,25933,23297,23694,21206,16772,21377,25069,21778,24338,24735,20347,27494,24114,21858,20614,25222,20864,19602,26285,20265,21758,26457,22844,18169,22077,23562,22971,20683,27254,19292,19034,19455,28202,21937,27446,19434,22077,24581,25783,28812,23828,23699,24638,24016,27009,21470,20583,24753,20207,19751,22973,25144,27947,22734,24477,22248,24341,18340,18634,23772,21697,24029,25438,27421,19339,19026,19962,20326,24518,21788,22398,19291,27032,25325,23314,25224,22655,23179,21194,24369,23310,25820,25844,24448,26558,25842,18686,22279,22484,21562,20379,17901,20986,18013,20479,20386,21789,19626,23632,21908,23003,17164,19266,21083,19333,21163,18581,18345,20142,17533,17280,17099,23436,26380,21096,21362,21190,23297,21574,19605,21337,19986,16197,23596,22376,23112,19919,20607,23553,22336,25709,28748,20471,22744,21665,22835,21253,22483,25129,21489,15873,16239,19811,15301,19395,25388,24123,20930,19939,21194,21907,20883,20785,19570,18512,20091,21628,18990,17153,22501,17896,19927,21472,23275,22472,22823,17394,19921,18077,17439,18169,23348,23600,20570,20855,17825,17061,19838,18663,22336,21213,15096,16138,16807,16463,22855,21371,24793,18477,21386,19730,16883,15887,19561,20805,15591,23280,21002,20187,19079,23601,23245,18565,18939,16995,20725,19005,18611,16607,15302
24,15558,13935,17923,16043,16400,21933,24146,15910,23998,20848,18523,21067,18345,19036,18474,20358,19817,18485,17057,17875,17294,22914,19940,18911,18446,22370,18977,17257,24329,16319,19897,22016,22223,17916,21508,22242,22635,20986,17691,15283,19107,17267,16858,18458,18947,19722,21490,19079,15522,20133,15642,13749,20967,25047,22658,17102,23161,22414,15953,17460,16537,19228,16812,16460,16351,20220,23079,25662,20811,24643,28014,23733,21068,23199,23476,26857,21705,17056,20303,19705,16875,26151,19440,15519,18889,23573,22227,23080,24728,19680,25418,22926,22480,20620,16211,21193,23979,21095,23978,24068,20666,26644,24322,20580,20480,24596,19354,19525,24988,19325,21489,25730,22437,17229,21032,22703,22291,19591,26523,17956,17854,18518,27863,21102,26485,18355,20502,23751,25693,27599,23560,23676,24746,22722,26224,21141,19726,23744,19233,18922,22654,24190,27387,21497,24104,21773,22856,17960,18728,22672,20527,23432,24402,27516,18551,18635,19222,20001,23786,21146,21844,18982,25670,25365,23368,24754,22145,23088,20914,23827,23031,25804,25717,23666,26213,25324,16860,21806,21649,20743,20328,16958,21143,17573,19959,20156,21103,18642,22937,21374,22716,16962,18987,20783,19191,20925,18656,17533,19707,16663,15952,16059,23568,26040,20578,20617,20967,22734,21382,18943,20414,18717,16026,23292,21677,22458,19351,20563,22842,22065,25326,28941,20006,22004,21140,22194,20878,22226,24416,21141,15362,15900,19044,14777,18463,24980,23718,20110,18402,20164,20810,19789,20069,18081,18268,19383,21371,19011,16486,21768,17439,19515,20658,23010,21876,22438,16812,19029,18073,17074,17686,23100,22691,20266,19962,17698,16458,19028,18521,21550,20172,14131,15604,15958,16083,22044,21322,23889,17737,20897,18741,15515,15177,19132,20786,14965,23111,20831,19656,18460,23777,22564,18223,17918,17294,19963,18798,18123,16077,14628
27,15060,13832,17633,15500,16140,21393,23750,15163,23479,20839,17855,20637,17901,18986,18671,19946,19013,18442,16491,17450,16711,22786,19549,18194,18346,21672,18349,16846,23916,15008,18945,21205,21713,17337,20863,21786,22824,19846,17073,14965,18267,17158,15902,17753,18173,18525,20741,17988,14398,18992,15065,13128,20565,23487,22227,16423,22638,22915,15325,16343,16288,18166,15896,16090,15380,19236,22549,24650,20356,23348,27588,23405,20338,22679,23002,26782,21163,16004,20031,18833,16331,25758,19270,14837,17944,22143,21108,21607,24064,18943,25671,21839,22008,19560,15731,20725,24056,21323,23221,24110,20175,26484,23651,19217,20010,24245,17854,18317,24161,18521,20516,24323,21655,16210,19625,21564,21441,18418,26186,16325,16643,18226,26118,20436,25302,17027,19386,22807,25060,26776,22671,23795,24288,21882,25828,21036,18955,23616,18154,18366,22281,23623,26738,20644,23430,21339,21964,17568,18911,21496,19861,22799,24263,27384,17822,17628,18671,20018,23348,20924,21315,18300,24704,25385,22924,23985,21760,22819,20843,23034,23133,25471,24869,23240,25023,24725,15743,21929,21089,19386,19555,16794,20481,17133,19565,19039,20712,17687,22728,20938,21772,16464,18592,20367,18606,20353,18360,17237,19031,15855,15080,15320,23042,25528,20483,20627,19824,22304,21266,18883,19895,18709,15136,22704,21051,21562,18666,20195,21941,21171,24563,28012,19705,21795,20988,22520,20415,21260,24084,20467,14450,16000,18295,14439,17554,23794,23221,19372,17101,19273,19634,18487,19595,16955,16932,18899,20739,18789,15816,21156,16740,19130,20574,22656,21885,21523,16159,18146,17836,16819,17592,22849,22097,20296,19159,16925,15680,18351,18116,20655,18984,13504,14615,15643,15077,21686,21035,23305,17021,20152,17965,14534,14581,18806,20419,14420,22735,19868,19455,18170,23219,21978,17325,17257,16899,19122,18577,17773,15373,13867
