0,3717.71
3,3783.535714
6,3584.102857
9,3575.63
12,3576.638571
15,3457.507143
18,3459.638571
21,3462.202857
24,3465.332857
27,3462.965714
30,3459.605714
33,3453.658571
36,3437.588571
39,3434.681429
42,3426.29
45,3427.121429
48,3421.265714
51,3415.557143
54,3409.374286
57,3410.3
60,3403.374286
63,3391.082857
66,3395.12
69,3391.46
72,3388.247143
75,3384.65
78,3379.267143
81,3374.147143
84,3365.855714
87,3367.82
90,3359.827143
93,3351.328571
96,3354.082857
99,3348.858571
102,3345.821429
105,3344.918571
108,3351.605714
111,3350.162857
114,3344.054286
117,3341.151429
120,3335.105714
123,3332.378571
126,3329.49
129,3328.441429
132,3324.087143
135,3320.695714
138,3319.787143
141,3310.34
144,3307.565714
147,3308.57
150,3301.798571
153,3298.725714
156,3296.057143
159,3292.951429
162,3290.184286
165,3288.868571
168,3285.337143
171,3280.867143
174,3276.848571
177,3277.85
180,3258.085714
