0,27018,31049,27055,27115,31462,31283,33324,29348,24181,28697,26328,20435,24437,29571,21443,21744,27682,26259,25665,23190,26695,29776,27639,26423,24855,29461,33118,29826,27960,25692,29329,30831,31316,26121,31077,31056,27160,27573,26818,26306,30577,27450,29870,25997,26579,24685,26094,25811,29174,22810,22546,34508,31133,25746,28455,26580,31049,24985,28511,27404,27430,30773,31907,29051,33493,28945,26159,24688,25724,26769,23655,25120,26957,30838,31217,32770,29066,34172,30627,22065,24167,27041,28897,25826,28262,29812,26320,23129,27060,22310,20892,20877,28766,29102,25321,28034,25909,32492,24465,34120,28127,24607,25097,22293,20359,20829,22034,23044,20014,23575,22101,27211,18493,24845,23800,25790,25449,23800,21316,19355,22210,18999,21370,22711,20773,21364,27077,25829,21413,21697,19982,21866,20695,19496,30774,32628,27852,24717,20780,21762,27273,25366,27380,25366,26892,23760,25885,23906,28896,24896,26500,28209,29454,26695,25968,26466,27189,26902,29354,21145,21789,26841,19607,25714,24781,21756,25931,28523,27684,24763,27198,25726,24914,23358,22829,24772,31639,32615,26938,29399,26967,26121,26274,26756,25085,25128,19001,22844,24174,22034,27329,27292,27278,23108,29756,25447,26396,30663,24378,29367,28712,28192,24799,26071,26671,24413,21659,30133,29201,28241,29932,28358,30370,27680,26305,30166,30337,23727,31911,19227,25304,23912,24396,24442,22863,23005,28757,26202,30435,20766,24344,26740,18945,23769,23951,27410,23375,26662,27818,29119,26327,25669,26532,27376,28707,25389,28886,28436,25636,27572,27734,23624,25283,22068,22683,27426,29762,23727,28448,24286,23287,27502,27686,37342,30307,22941,26973,24549,28100,31627,29150,28117,26181,25095,25939,29084,29801,28339,29231,37151,27441,31309,28667,30299,23590,28028,24907,24084,27281,23425,28703,23234,26450,27174,25339,23690,24194,27658,25573,23720
3,24940,28164,24223,24966,29393,29612,30548,27835,22768,25329,23664,19883,22256,27213,19914,20508,25463,24681,24682,22188,24513,28178,26417,25376,23190,27928,30210,27840,25956,21948,27175,28782,27273,24590,28763,29112,25725,25365,25497,24639,28549,24820,27060,24432,42224,45432,24902,24408,26207,51288,32144,31935,29223,24179,25075,24835,27475,23248,27062,24818,25615,28663,30043,26785,30739,25759,23934,22370,24358,25946,23239,24268,26227,29407,30615,29835,27807,30468,27908,21723,22498,26112,27323,23535,26984,28652,25867,23150,25840,20302,20291,19973,25994,25503,23360,26040,25700,30633,23928,33664,26451,23010,23908,21758,17796,18851,20739,21658,19579,21918,22016,25844,17660,23983,22869,24645,23883,21716,19814,18597,20735,17741,19851,21087,19552,20738,26330,24261,20230,19989,19420,21230,19890,19715,28764,30476,26031,23635,19610,19258,24472,24594,26981,23878,24713,22209,23486,22298,27248,23931,26947,28045,28170,26239,25105,24666,26169,24736,27035,19840,20428,24667,18996,24641,24505,21976,24571,26689,26269,23260,26190,24538,24018,22433,21393,24073,31050,31068,26364,27671,25344,23926,23996,25174,24222,23862,19390,22275,24322,21905,26434,26171,25763,22487,29652,24898,24785,27719,22114,28754,26478,24052,21408,24162,25517,23341,20524,26134,24660,26616,28841,26672,30664,26924,26307,28739,28159,21922,28712,18847,23688,21868,22519,22468,21049,21307,25502,24205,27659,20230,22431,25923,19374,22712,22277,25185,22898,25405,26456,27634,24211,24310,24446,26598,26625,23567,26722,27784,22928,26555,28476,22615,23628,19450,20473,25855,28308,22198,24438,22192,22370,25275,25600,33873,29208,21557,25467,23029,28210,29706,28183,26610,23917,22929,24603,26955,27453,27963,27576,35078,26036,30234,27015,29210,21881,25908,25612,22983,25961,21981,26947,22900,23691,26312,23660,22777,22445,26937,23211,21140
6,25842,29172,25880,25887,30583,29906,32635,29111,23788,27981,24768,20232,23436,29925,20258,21460,27194,25444,24897,23046,25397,28462,28428,25384,25470,32054,32072,28872,27063,23832,29102,30423,30222,25249,29191,30068,26848,26800,26595,25313,30062,27276,30173,25702,25555,24374,33988,32322,30156,22477,22266,32868,29683,25009,27908,25366,29718,23694,27860,26499,27175,29854,32057,28225,33800,27537,25147,23879,25304,26475,23501,24518,26719,29642,30065,32230,28390,35502,28656,21536,23791,26154,28070,24850,27188,29039,27530,23321,26409,21596,21450,20701,28199,27590,24777,27016,26088,31739,24181,32890,27588,24363,23365,22338,19371,20771,22089,22357,20040,22630,22126,26138,18250,24069,23975,24977,24983,23787,21063,19266,21416,18150,21224,22426,20465,21855,27304,25278,21208,21136,19239,22511,20969,18559,29457,31600,27910,24974,20543,20839,25934,25514,27705,23319,25620,23984,24970,22375,28269,24614,26149,28875,27694,26275,24245,25237,26998,27013,28639,21354,20400,24670,18996,25464,24813,21722,25360,25855,27091,23661,26014,24852,23792,23097,22157,24108,31628,32233,26293,29027,26041,25437,25535,25875,24806,24350,19140,22945,24119,21862,25737,26037,27417,22458,29613,26057,26540,28688,23389,28385,28405,26551,23637,24804,26437,24997,21052,28046,27375,28188,29626,27018,31422,27135,25818,28584,28464,23359,28604,18825,24873,23530,23179,23413,22370,22895,27521,25091,29329,19631,22710,25501,18949,22685,23263,26178,22648,24913,26646,27588,25842,24544,25330,26623,28312,25020,28236,27955,23942,26868,27288,23217,23882,20623,21464,27307,28486,22426,26974,23076,22677,26200,27373,36219,29064,21809,26110,24457,28592,30481,28652,27129,26667,25348,25496,28786,27767,28794,28932,35228,27065,31306,28785,28887,23050,27485,24250,23525,26362,22235,28100,23417,24916,26446,24040,23590,22928,27102,25025,22989
9,25396,28604,25916,25435,30108,29447,32501,28595,23739,26940,24455,20383,23237,29712,19820,21260,27029,24818,24855,22673,24912,27996,28093,24624,24990,29364,32199,28543,26835,23512,29637,29433,29787,24901,28879,29388,26506,26948,25718,25183,28962,26749,29722,24760,25076,23315,24870,25236,29356,21837,21660,32629,28715,24984,27217,24788,29189,22942,27442,26193,26910,30037,30458,28324,33847,27153,24576,23954,25358,26170,23537,24117,26207,29752,30466,31716,27345,34597,28775,21068,23276,26058,27577,24154,26307,29615,27434,23013,25963,21326,20851,19704,27811,26735,24331,26238,25907,31511,23755,33658,27675,24338,23316,22296,18606,20711,21557,22080,19256,22173,22688,25616,17887,23287,23546,24446,24819,23333,20341,18838,21227,17629,20850,21393,19775,21350,26701,25097,20788,20155,19249,22228,20878,18827,29473,31437,27763,24153,20092,20983,25817,25178,26843,23060,25807,23606,24740,22332,27582,23599,25629,28163,27634,26130,24003,24805,26631,26705,26933,20823,20109,24523,18993,25257,24889,21867,24824,25516,26722,23884,25820,24498,23806,22141,21982,23534,31598,32126,26429,28472,25946,25616,25318,25211,24598,23935,18378,23005,23646,21770,26037,25651,27325,22397,30113,25284,25566,28385,23028,28290,28112,26366,23642,24178,25804,24853,20201,28125,27357,27886,29868,26881,31071,26865,25372,28457,28991,22762,26851,18234,24420,23310,23088,22893,21855,22218,27673,24219,29231,19317,22518,25555,18495,22083,22578,25632,22441,25255,26873,27316,25751,24411,25580,26237,28446,25273,27868,27967,24331,26565,27055,23746,23425,20314,20730,26751,28776,22177,26584,22669,22514,25959,27682,36207,28859,21658,26306,24266,28399,30511,28162,26636,26481,25104,24408,28112,27035,28883,28433,35184,26835,31553,28172,28015,22852,27062,24446,23298,25733,21585,28175,23286,25063,26045,23786,23707,22773,26950,24306,22499
12,24526,28671,25828,25396,29983,29627,32097,27715,23205,26347,23618,20160,22964,29094,19188,21244,26962,25034,23981,22399,24263,27222,27598,24318,24350,29181,31318,29075,26698,23147,29115,29922,29244,25149,27994,28763,26018,26807,25437,24263,28778,26040,29029,24456,24610,22944,24357,24881,28575,20997,21380,32343,29067,24144,27311,24580,28411,22637,26825,25786,26949,29702,31032,27525,33675,27262,24290,24002,24748,26241,23980,23465,25443,29621,29625,31135,27208,33575,28144,20884,22916,25579,27178,23734,25966,29275,26434,22797,25185,21285,20576,19534,27755,26076,23980,26113,26469,30651,23546,33712,27652,24092,23287,21635,18568,20496,21101,22068,19084,22151,22227,25234,18066,22264,22819,24632,24241,22960,19317,18472,21300,17385,20419,21081,20004,21430,26054,24578,20136,20097,18440,22431,20485,18704,29166,32213,26795,24465,19663,20414,25230,24758,26339,23203,25692,23613,24648,22444,27571,22908,25177,28343,27348,25588,24356,24138,26325,26679,25440,19348,20108,24094,18725,25441,24159,21868,24460,25021,25971,23456,25795,24203,23414,21818,21733,23200,31575,32230,26213,28378,24915,25291,25038,24854,24269,23602,18018,22879,23839,21757,25518,25212,27443,22400,29816,25232,25541,27665,22064,28482,27995,26164,23254,23368,25635,24107,19960,27046,26359,27235,29636,27259,31092,26520,25385,27939,28920,22317,25848,17875,24048,23009,23247,22888,21081,21581,26814,24038,28831,18875,22302,25653,18144,21636,22102,24889,22239,24131,26977,27642,25624,24060,25840,26040,28023,24926,27431,27841,24199,26765,26113,23498,22825,19827,20490,26322,28730,22188,25762,22293,22244,25919,27802,36050,29611,21784,26240,23545,27556,30429,27873,26584,26412,24318,24434,27141,26773,28084,28120,34443,26722,31568,28240,27239,22234,26786,24305,23293,25515,21751,27759,22984,24163,25749,22781,23055,22848,27130,23538,22441
15,22231,27959,24795,24108,28307,28753,30956,25672,22052,25272,22185,20023,23236,27664,18784,20603,26261,23978,22821,21745,23786,25636,26338,23380,23369,27353,30139,27517,25658,21771,27359,29068,28307,24589,26597,27235,24962,29159,25102,23825,26737,24835,27241,23702,23801,21847,24609,24057,27669,20728,20596,30268,27670,22761,26706,23814,27210,21350,25705,25203,25674,28325,29963,26545,32215,25363,22977,22900,23588,24707,23012,23292,24263,28408,27658,29070,25463,31465,26476,20464,22508,23617,25596,22501,24534,27533,24640,22232,23845,20452,19139,17722,26117,24539,22958,24834,25350,28648,21925,32432,26112,23019,22344,21125,18929,19692,20126,21348,18436,21858,21565,24958,17217,21643,21815,23880,23193,21931,17651,17377,20271,16616,20273,19730,19366,20799,26121,23440,18508,18439,17282,21825,19131,17823,28223,30980,25782,24334,18850,19447,24546,24088,25849,21335,23958,22838,24681,20948,25499,21145,24041,26528,26544,24769,22812,22829,24275,24305,23974,18289,19739,22357,18080,24998,22942,21376,22961,23729,24889,22428,24920,23192,22375,20912,20531,22165,28472,30620,25279,28267,24584,23836,23370,24163,23217,22100,17172,22184,22566,20202,24430,23937,26540,21321,28317,24064,24027,26506,20659,26879,26923,25894,21907,22813,23977,24004,18954,24571,23820,26671,28722,25442,29283,25642,24375,26557,27233,21468,23069,17012,22897,21912,22825,22073,19864,19754,24627,22688,28027,18096,21684,24137,17049,20102,20929,24236,21031,23517,24901,26201,24825,22020,24598,24273,26548,23010,26149,25983,23487,26153,26166,22313,21340,18370,19796,24696,26962,20230,24386,20586,21068,24415,26270,34280,27810,19603,25217,23117,26012,29265,26279,25627,24670,23964,22121,26044,24471,26538,27015,32826,25801,28856,26959,24687,20806,25208,23164,21810,24927,21166,26572,22047,23221,24359,21903,21401,21206,26263,22112,21167
18,21766,28057,24784,24227,28003,28818,30908,25102,21364,24886,21776,19885,23089,26593,18162,20590,26373,23645,22429,21403,23849,24951,26100,23462,23370,26991,29565,27019,24809,21570,27432,28198,27891,24523,25887,27286,24367,27611,25494,25494,26985,24802,27517,23788,24046,21174,24477,23615,27433,20246,20537,29158,27350,22659,26716,23795,26656,20879,25513,25058,25447,27970,30121,26468,32631,24745,22794,22628,23262,24360,22873,22715,24310,27977,27462,28423,25435,31151,26032,20209,22380,22774,24869,22260,24479,27432,24772,22042,23174,20069,18487,17389,26196,23855,21861,24563,25508,28779,21871,31549,26438,22241,22548,20834,18681,19213,20259,21429,18540,21780,21326,24845,16617,22100,21276,23571,22959,21838,17130,17326,20112,16587,19879,19316,19093,20884,26027,23515,18397,17940,16578,22046,18100,17807,27590,30401,26010,23923,18833,19015,24252,24430,25097,19987,24069,22461,24782,21018,24976,20783,23893,25556,26596,24295,24018,22634,25041,23795,23166,17296,20014,22172,17957,24413,23094,21048,22880,24021,25127,22264,24392,23457,22157,20563,20053,22419,29283,30342,24870,27715,24351,23127,22922,23896,22978,21904,16720,21269,21974,19845,24383,23292,25823,21226,28146,24023,23923,25619,20306,27256,27199,25225,20685,23338,23699,23462,19059,23288,22567,26875,28713,25076,28736,25593,24217,26185,27469,21246,22223,16744,22684,21440,22298,21536,19334,18681,23584,22427,28383,18284,21379,23818,16379,20071,20492,24186,20636,22937,24814,25779,24271,21930,24428,24083,26513,22648,25042,25967,22819,25940,26364,21547,20665,18102,20093,24046,26588,19853,24272,20228,20828,24456,25712,34120,27990,19285,25358,22684,25829,29397,26480,25322,24528,23688,21686,25801,24131,26863,27480,31811,25540,27715,26966,23785,20039,25235,22920,22087,25253,21171,25939,22251,23121,24848,20944,21007,20690,26325,21660,20923
21,20950,27689,24140,24001,28163,28464,30490,24337,20833,24789,21467,19438,22807,25934,17693,20067,25937,23190,21924,21039,23566,24825,26013,23173,22537,26441,29126,27774,24670,21221,26924,27609,27747,23761,25568,26793,23501,26949,24251,26374,26249,24475,27687,23714,23591,20406,24320,23608,27016,20089,20221,28682,27024,22213,26386,23330,25925,20457,25255,25133,25907,28882,30253,26455,32860,24041,22111,21794,22371,24670,22886,22507,23433,27887,27254,28348,25056,30735,25412,20372,22121,22589,24125,22120,24604,27168,24671,21665,22150,20190,18345,17033,25892,23414,20965,24387,25433,28190,21212,32097,26139,22627,22726,20715,18783,18954,19826,21266,18644,21510,21570,24599,16087,21985,21534,23499,22991,21719,16436,17188,19616,16498,19375,18871,19375,20595,26100,22930,18233,16795,16282,21432,17274,18685,27623,30481,26135,24320,18869,18786,24011,23612,24964,19461,23712,21769,24022,20727,24356,20536,23351,25078,25646,24403,23372,22401,25139,24373,22844,16233,19831,21788,17767,24372,22762,20494,22762,24146,25054,21994,24413,23315,22057,20076,20120,22519,28169,30339,24439,27722,24554,22708,22636,23612,22964,21230,16307,20780,21132,19098,24833,23029,25892,21042,28477,25131,23693,24247,19424,27188,27111,24730,19735,22481,22967,22825,18872,22573,21698,26792,28873,24766,28264,25815,24303,25306,27205,20873,21432,16035,22186,21886,22423,21611,18876,17377,22381,21904,28779,17779,21282,23906,16266,19849,20010,23706,20261,22326,24506,25085,24375,21422,24565,24049,26653,22547,24125,26004,22213,26082,25772,21133,20404,17916,20304,23574,26421,18708,23382,19372,20222,24338,25914,33768,28099,18739,25014,22103,25697,29174,25937,25928,24449,23197,21125,25902,23615,26026,27176,32014,25120,27396,26744,23525,18769,25131,23225,21909,24986,20547,25419,22068,22629,24740,20243,21433,20598,25970,21215,20291
24,20094,26871,23537,24018,27668,28599,30713,23402,21009,24303,21002,19534,23063,25101,17794,19404,26302,22871,21574,20278,23746,24397,25797,23196,22110,26212,28884,27521,24580,21086,26863,27186,28316,23503,24451,26675,23407,27139,23788,25423,26514,24381,27337,23722,23026,19873,24771,24002,27518,19575,19307,28240,27248,22115,25651,22892,25119,20057,25194,24748,25636,29172,29594,25765,32188,23657,21277,21284,22330,24075,23015,22127,23041,27166,26603,28088,24768,29481,25002,20359,22059,21877,23547,21690,24296,26740,24096,21524,21989,20004,18062,16706,25295,22288,19999,24232,24927,28126,20534,32109,26015,22385,22861,20756,17715,18775,18916,20753,17968,21178,22039,24392,15820,21458,21292,24023,22999,21138,15841,16543,19861,16351,18685,19109,19117,20335,26232,23074,18044,16147,15766,20855,16760,18608,26390,30191,25580,24840,18371,18504,23785,23874,25404,18462,23405,21425,23463,21379,24657,19646,22812,25151,25248,23852,23632,21852,25713,23431,22382,15417,20016,21505,17783,23960,22138,20450,23105,23193,25126,21709,24507,23451,21809,19957,20496,22361,27687,29825,23977,26990,24353,21527,22673,23156,22361,20427,16043,20281,20754,18618,24565,22236,26354,21113,28269,24995,23849,23073,19392,27208,27611,24495,19240,22071,22953,22649,18660,22465,21295,26296,28522,24345,28091,25557,23840,24957,26823,20840,21254,15293,21251,21033,22066,21528,18986,16168,21763,21766,28486,17326,20963,24376,15790,19157,19446,22773,20122,22206,23814,25367,24574,20810,23911,23264,26119,22244,24317,25437,22202,25781,25662,21060,19220,17607,19875,22703,26046,18175,23167,19017,19965,24431,25456,33495,28225,19298,25818,21134,26361,29125,25931,25357,24315,22242,20580,25525,23388,25671,27179,31682,25322,26180,26443,22017,17847,25193,23134,22558,25136,20322,25071,22187,22213,24587,20005,21200,20031,25967,21169,19509
27,19694,27151,22873,24362,27649,28293,30188,22568,20751,24000,21051,19389,23191,24599,17441,19045,26286,22564,21686,19634,22939,23538,25894,23119,21297,26206,28232,27484,24879,20528,26895,26508,27712,23763,24153,25954,22530,27155,23338,24867,26386,23783,27102,23866,22841,20022,24830,23975,27169,19215,19408,27683,26432,22127,25760,22842,24753,19621,25602,24660,24584,28928,29196,25681,32287,24040,20813,21066,21643,23851,22945,22365,22862,26876,26507,28198,24641,29664,24725,20144,21580,21014,23032,21369,23634,26265,23547,21504,21294,20416,17518,16075,25437,21354,19371,23900,24501,28443,20120,32218,25901,21866,22881,20592,17909,18408,18838,20329,17890,20712,22043,24624,15648,21683,20488,23851,22583,20738,14607,15981,19816,16180,18328,18735,18997,20303,26397,22840,17977,15129,14926,20886,16239,17720,26660,29467,25575,25372,17861,18026,23713,23673,25545,18089,22779,20945,23225,21455,24594,19103,22414,25506,25100,23604,22996,21052,26086,22508,22464,14978,19694,20860,17784,23843,22016,20586,22355,22965,24966,21205,24369,22996,21395,19491,19774,22152,27789,29520,23872,26771,24175,21001,22114,22940,22792,20043,16032,20358,20701,18566,24874,21913,25928,20834,28772,24581,23063,22875,18335,26985,27710,24360,18426,22077,23225,21870,18625,22174,21614,25587,27222,23683,27224,25038,23464,24110,26712,20918,20741,15032,20707,20450,22161,21304,18894,15526,20514,21513,27787,17143,20427,23859,15506,18873,19174,22306,20022,21613,23335,24994,24860,20318,23982,22742,26090,21723,24267,25517,22147,26028,25376,21398,18699,17367,19668,22600,25886,17869,22861,19085,19778,24213,25237,32538,28072,19143,25428,20280,26066,29184,25538,25979,24117,21936,20297,24862,22233,25339,26685,31379,24770,25253,25795,21418,17053,25365,23293,22463,24758,20266,24797,21980,22633,24166,19142,21025,19743,25731,20634,18820
