1.469620000000000000e+05,1.444920000000000000e+05,1.441530000000000000e+05,1.424760000000000000e+05,1.378940000000000000e+05,1.321790000000000000e+05,1.219740000000000000e+05,1.076660000000000000e+05,9.072500000000000000e+04,4.956500000000000000e+04
1.460270000000000000e+05,1.453700000000000000e+05,1.448870000000000000e+05,1.423230000000000000e+05,1.390960000000000000e+05,1.330080000000000000e+05,1.220180000000000000e+05,1.075340000000000000e+05,9.153200000000000000e+04,4.992000000000000000e+04
1.458760000000000000e+05,1.452740000000000000e+05,1.439580000000000000e+05,1.426260000000000000e+05,1.386920000000000000e+05,1.327720000000000000e+05,1.220700000000000000e+05,1.076250000000000000e+05,9.072100000000000000e+04,5.062400000000000000e+04
1.453100000000000000e+05,1.457200000000000000e+05,1.439330000000000000e+05,1.427220000000000000e+05,1.385220000000000000e+05,1.324520000000000000e+05,1.224340000000000000e+05,1.079210000000000000e+05,9.157900000000000000e+04,4.928200000000000000e+04
1.450990000000000000e+05,1.452060000000000000e+05,1.440360000000000000e+05,1.418770000000000000e+05,1.386620000000000000e+05,1.324460000000000000e+05,1.222090000000000000e+05,1.074400000000000000e+05,9.141000000000000000e+04,4.932400000000000000e+04
1.460690000000000000e+05,1.445900000000000000e+05,1.434350000000000000e+05,1.422750000000000000e+05,1.392660000000000000e+05,1.323150000000000000e+05,1.218760000000000000e+05,1.075170000000000000e+05,9.098200000000000000e+04,4.976300000000000000e+04
1.466370000000000000e+05,1.453900000000000000e+05,1.440860000000000000e+05,1.424620000000000000e+05,1.392470000000000000e+05,1.330940000000000000e+05,1.221200000000000000e+05,1.078220000000000000e+05,9.067700000000000000e+04,4.995100000000000000e+04
1.461290000000000000e+05,1.450810000000000000e+05,1.440540000000000000e+05,1.427670000000000000e+05,1.393890000000000000e+05,1.318720000000000000e+05,1.218340000000000000e+05,1.077710000000000000e+05,9.129600000000000000e+04,4.990100000000000000e+04
1.464530000000000000e+05,1.455160000000000000e+05,1.444360000000000000e+05,1.424880000000000000e+05,1.381440000000000000e+05,1.322830000000000000e+05,1.222650000000000000e+05,1.075860000000000000e+05,9.104500000000000000e+04,4.990100000000000000e+04
1.456210000000000000e+05,1.454040000000000000e+05,1.438270000000000000e+05,1.426610000000000000e+05,1.388720000000000000e+05,1.325060000000000000e+05,1.221360000000000000e+05,1.080200000000000000e+05,9.117000000000000000e+04,4.922500000000000000e+04
1.463710000000000000e+05,1.453350000000000000e+05,1.445500000000000000e+05,1.421060000000000000e+05,1.385940000000000000e+05,1.322840000000000000e+05,1.219180000000000000e+05,1.073820000000000000e+05,9.123900000000000000e+04,5.001900000000000000e+04
1.460130000000000000e+05,1.447280000000000000e+05,1.435580000000000000e+05,1.433500000000000000e+05,1.391110000000000000e+05,1.318410000000000000e+05,1.214810000000000000e+05,1.074160000000000000e+05,9.103000000000000000e+04,4.956200000000000000e+04
1.463860000000000000e+05,1.450320000000000000e+05,1.444480000000000000e+05,1.417990000000000000e+05,1.385400000000000000e+05,1.331370000000000000e+05,1.223840000000000000e+05,1.071830000000000000e+05,9.097600000000000000e+04,4.921900000000000000e+04
1.454540000000000000e+05,1.456290000000000000e+05,1.441530000000000000e+05,1.424140000000000000e+05,1.387780000000000000e+05,1.322950000000000000e+05,1.214790000000000000e+05,1.072920000000000000e+05,9.133000000000000000e+04,4.965800000000000000e+04
1.464650000000000000e+05,1.454850000000000000e+05,1.434900000000000000e+05,1.425620000000000000e+05,1.385220000000000000e+05,1.326260000000000000e+05,1.217680000000000000e+05,1.075690000000000000e+05,9.074400000000000000e+04,4.937000000000000000e+04
